CPF,Origem,Nome,Sexo,Telefone 1,Telefone 2,E-mail,Data de Nascimento,Data de Cadastro,Observações,Pode agendar online,Primeiro agendamento,Último agendamento,Status do primeiro agendamento,Status do último agendamento,Recebe e-mails agendamentos,Recebe e-mail sobre Programa de Fidelidade,CEP,Estado,Endereço,Número,Complemento,Bairro,Cidade,Como nos conheceu,Instagram
Null,Balcão,Cliente 1,Feminino,(71) 0000-0000,,,,2/11/2019,,Sim,22/10/2019,21/11/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 2,Feminino,(71) 0000-0000,,,,2/11/2019,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 3,Feminino,(71) 0000-0000,,,,11/11/2018,,Sim,10/11/2018,21/09/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 4,Feminino,(71) 0000-0000,,,,20/10/2019,,Sim,5/10/2019,11/5/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 5,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 6,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,16/01/2018,12/5/2023,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 7,Feminino,(71) 0000-0000,,,,18/04/2023,,Sim,20/04/2023,6/5/2023,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 8,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,28/03/2019,4/5/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 9,Feminino,(71) 0000-0000,,,,25/08/2019,,Sim,5/8/2019,29/10/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 10,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,4/2/2019,4/2/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 11,Feminino,(71) 0000-0000,,,,28/06/2018,,Sim,28/06/2018,28/06/2018,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 12,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,1/12/2018,1/12/2018,Confirmado,Confirmado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 13,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 14,Feminino,(71) 0000-0000,,,,30/09/2018,,Sim,28/09/2018,15/02/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 15,Feminino,(71) 0000-0000,,,,26/04/2018,,Sim,26/04/2018,26/04/2018,Cancelado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 16,Feminino,(71) 0000-0000,,,,3/2/2020,,Sim,20/01/2020,1/2/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 17,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 18,Feminino,(71) 0000-0000,,,,15/09/2018,,Sim,13/09/2018,13/09/2018,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 19,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,22/02/2019,29/04/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 20,Feminino,(71) 0000-0000,,,,7/3/2018,,Sim,7/3/2018,7/3/2018,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 21,Feminino,(71) 0000-0000,,,,20/07/2018,,Sim,20/07/2018,6/3/2020,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 22,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,13/08/2019,13/09/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 23,Feminino,(71) 0000-0000,,,,4/8/2018,,Sim,4/8/2018,4/3/2020,Finalizado,Finalizado,Não,Sim,,,,,,,,,
Null,Balcão,Cliente 24,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,21/07/2018,18/11/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 25,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,,,,,Sim,Sim,,,,,,,,,
Null,Balcão,Cliente 26,Feminino,(71) 0000-0000,,,,16/01/2018,,Sim,11/10/2019,11/10/2019,Finalizado,Finalizado,Sim,Sim,,,,,,,,,
